time,frequency,confidence
0.000,792.670,0.040425
0.010,53.330,0.063804
0.020,32.891,0.109550
0.030,1108.790,0.010822
0.040,1090.299,0.011855
0.050,33.418,0.011803
0.060,1255.384,0.014367
0.070,1391.817,0.025801
0.080,1394.700,0.051108
0.090,32.505,0.024804
0.100,32.433,0.047038
0.110,33.002,0.037313
0.120,33.446,0.224191
0.130,33.693,0.228875
0.140,33.782,0.031588
0.150,1240.818,0.010832
0.160,1396.497,0.018184
0.170,1396.199,0.036100
0.180,1330.780,0.035972
0.190,64.400,0.107537
0.200,32.912,0.042160
0.210,1180.435,0.049035
0.220,33.601,0.403206
0.230,33.684,0.138915
0.240,33.746,0.031204
0.250,1323.792,0.015379
0.260,1389.390,0.014862
0.270,1335.279,0.035917
0.280,32.415,0.060742
0.290,32.535,0.050895
0.300,33.090,0.036851
0.310,33.462,0.339776
0.320,33.778,0.096675
0.330,33.860,0.047850
0.340,1401.336,0.010896
0.350,1394.883,0.022933
0.360,1396.086,0.068003
0.370,32.451,0.028726
0.380,32.643,0.029386
0.390,1179.763,0.039628
0.400,33.400,0.332706
0.410,33.628,0.272574
0.420,33.794,0.069975
0.430,1236.484,0.015077
0.440,1390.766,0.016170
0.450,268.014,0.087692
0.460,235.328,0.355164
0.470,235.275,0.587015
0.480,234.894,0.744703
0.490,233.920,0.775679
0.500,232.542,0.625305
0.510,233.029,0.610943
0.520,233.341,0.541545
0.530,233.312,0.549614
0.540,236.097,0.324550
0.550,164.718,0.337625
0.560,230.262,0.313456
0.570,230.443,0.298368
0.580,233.488,0.317733
0.590,170.183,0.405993
0.600,174.959,0.630271
0.610,177.402,0.454392
0.620,180.905,0.435184
0.630,184.578,0.349434
0.640,259.975,0.139014
0.650,146.029,0.159206
0.660,137.535,0.224560
0.670,135.190,0.288303
0.680,133.802,0.212673
0.690,235.430,0.148045
0.700,243.524,0.168716
0.710,247.922,0.298650
0.720,257.110,0.517308
0.730,262.189,0.713060
0.740,262.801,0.699390
0.750,262.422,0.398719
0.760,270.645,0.315016
0.770,183.223,0.259036
0.780,179.958,0.375910
0.790,180.562,0.232432
0.800,178.998,0.241723
0.810,178.203,0.409168
0.820,178.715,0.619958
0.830,180.633,0.475624
0.840,184.800,0.506065
0.850,184.217,0.478254
0.860,205.397,0.280922
0.870,212.517,0.411554
0.880,213.478,0.304441
0.890,141.172,0.134375
0.900,255.180,0.535577
0.910,247.275,0.649931
0.920,243.126,0.737360
0.930,240.196,0.840199
0.940,238.001,0.834875
0.950,236.192,0.881432
0.960,233.088,0.789069
0.970,228.508,0.769470
0.980,222.881,0.753825
0.990,217.774,0.645522
1.000,208.988,0.600625
1.010,202.249,0.740288
1.020,202.509,0.795345
1.030,204.810,0.858083
1.040,208.112,0.832741
1.050,209.872,0.790313
1.060,213.285,0.809791
1.070,215.138,0.724979
1.080,218.811,0.602758
1.090,226.447,0.603620
1.100,227.771,0.424518
1.110,221.918,0.211650
1.120,211.843,0.430919
1.130,208.601,0.400344
1.140,226.565,0.193060
1.150,225.879,0.501761
1.160,225.241,0.563885
1.170,223.290,0.401540
1.180,220.874,0.614163
1.190,217.974,0.580015
1.200,220.717,0.316924
1.210,225.079,0.198300
1.220,189.888,0.278221
1.230,127.771,0.200074
1.240,262.246,0.285720
1.250,271.850,0.176292
1.260,283.365,0.412499
1.270,285.768,0.587816
1.280,286.007,0.302909
1.290,297.157,0.416810
1.300,298.939,0.158848
1.310,155.407,0.458404
1.320,153.688,0.165886
1.330,285.359,0.361116
1.340,280.467,0.624168
1.350,282.159,0.603250
1.360,280.779,0.576140
1.370,275.892,0.438516
1.380,271.168,0.447466
1.390,154.557,0.259691
1.400,154.258,0.214642
1.410,155.643,0.413310
1.420,154.308,0.384475
1.430,153.350,0.349421
1.440,148.831,0.240247
1.450,143.758,0.348246
1.460,212.068,0.287180
1.470,218.242,0.603660
1.480,218.483,0.811272
1.490,218.091,0.847546
1.500,217.930,0.777592
1.510,219.337,0.750438
1.520,221.066,0.728664
1.530,222.452,0.756348
1.540,223.121,0.738229
1.550,222.427,0.674267
1.560,220.123,0.533997
1.570,219.928,0.275060
1.580,200.604,0.277216
1.590,194.636,0.212446
1.600,289.126,0.136250
1.610,288.767,0.195455
1.620,290.711,0.631567
1.630,290.858,0.465837
1.640,164.896,0.227211
1.650,162.927,0.231872
1.660,158.279,0.279970
1.670,221.421,0.256116
1.680,216.129,0.383043
1.690,217.762,0.483589
1.700,218.341,0.574395
1.710,218.497,0.760921
1.720,217.721,0.747303
1.730,219.148,0.764491
1.740,223.172,0.752329
1.750,225.929,0.766675
1.760,227.473,0.771428
1.770,227.649,0.637839
1.780,230.678,0.601903
1.790,234.310,0.682358
1.800,235.249,0.704945
1.810,236.632,0.679723
1.820,117.773,0.388953
1.830,241.425,0.571159
1.840,243.156,0.697819
1.850,240.031,0.304525
1.860,151.721,0.324705
1.870,245.629,0.146652
1.880,252.073,0.256542
1.890,267.270,0.310804
1.900,267.696,0.503807
1.910,269.684,0.567157
1.920,269.306,0.539726
1.930,267.428,0.573206
1.940,267.023,0.586172
1.950,267.564,0.597017
1.960,270.154,0.508820
1.970,230.831,0.322192
1.980,229.233,0.336027
1.990,225.296,0.551132
2.000,224.101,0.441731
2.010,222.104,0.492329
2.020,220.399,0.453976
2.030,221.066,0.378474
2.040,226.324,0.636033
2.050,226.188,0.768800
2.060,227.077,0.827532
2.070,227.201,0.834763
2.080,226.045,0.838224
2.090,226.291,0.841124
2.100,226.443,0.862486
2.110,226.685,0.867741
2.120,226.684,0.858725
2.130,225.721,0.833668
2.140,223.456,0.769336
2.150,221.339,0.789616
2.160,216.539,0.666836
2.170,211.021,0.653319
2.180,213.159,0.595082
2.190,213.446,0.526358
2.200,206.759,0.697484
2.210,204.817,0.724122
2.220,207.013,0.410919
2.230,218.959,0.304214
2.240,184.255,0.544876
2.250,184.110,0.549912
2.260,184.649,0.674221
2.270,185.247,0.702298
2.280,185.851,0.764856
2.290,188.326,0.660330
2.300,191.341,0.495319
2.310,200.333,0.384815
2.320,203.168,0.458566
2.330,208.737,0.528953
2.340,219.870,0.502765
2.350,224.797,0.726544
2.360,224.389,0.685066
2.370,222.116,0.480343
2.380,212.271,0.359692
2.390,227.671,0.214251
2.400,229.515,0.359438
2.410,197.323,0.207173
2.420,209.001,0.279112
2.430,205.688,0.346732
2.440,190.840,0.316943
2.450,188.235,0.409078
2.460,186.440,0.453787
2.470,184.715,0.680567
2.480,183.571,0.830906
2.490,182.751,0.883724
2.500,182.579,0.852881
2.510,182.480,0.838701
2.520,184.250,0.775058
2.530,185.622,0.845106
2.540,187.362,0.792457
2.550,190.435,0.722130
2.560,193.530,0.725159
2.570,194.177,0.708911
2.580,193.972,0.647156
2.590,275.198,0.274882
2.600,274.259,0.539628
2.610,273.827,0.679656
2.620,275.835,0.455749
2.630,184.852,0.627676
2.640,183.001,0.750668
2.650,182.409,0.671234
2.660,183.392,0.643743
2.670,184.451,0.619629
2.680,180.337,0.426846
2.690,167.853,0.417459
2.700,165.933,0.413817
2.710,167.224,0.314446
2.720,167.681,0.230183
2.730,208.681,0.124532
2.740,205.169,0.193406
2.750,187.204,0.180237
2.760,183.859,0.244055
2.770,182.790,0.314212
2.780,181.611,0.149929
2.790,145.907,0.331740
2.800,252.382,0.367445
2.810,244.482,0.556738
2.820,240.366,0.645008
2.830,237.693,0.699855
2.840,233.825,0.816741
2.850,230.980,0.864766
2.860,228.374,0.914437
2.870,227.476,0.881669
2.880,227.315,0.859279
2.890,227.746,0.852962
2.900,230.731,0.773258
2.910,233.170,0.821211
2.920,233.407,0.812446
2.930,233.089,0.803398
2.940,232.124,0.709180
2.950,229.403,0.664485
2.960,229.111,0.774150
2.970,228.232,0.726058
2.980,227.100,0.430476
2.990,230.033,0.382726
